É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 23:52:24

,,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,îBçË,îBçË,îBçË,îBçË,îBçË,îBçË,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,ìÏïî,ìÏïî,ìÏïî,ìÏïî,ìÏïî,ìÏïî,å√ä÷,å√ä÷,å√ä÷,å√ä÷,å√ä÷,å√ä÷,éRíÜ,éRíÜ,éRíÜ,éRíÜ,éRíÜ,éRíÜ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,ëÂåé,ëÂåé,ëÂåé,ëÂåé,ëÂåé,ëÂåé,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,èüè¿,èüè¿,èüè¿,èüè¿,èüè¿,èüè¿,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
2020/7/2,ñÿ,21.3,8,1,0.0,8,1,23.8,8,1,0.5,8,1,,0,1,0.0,8,1,24.0,8,1,0.0,8,1,24.3,8,1,0.0,8,1,21.9,8,1,0.0,8,1,20.2,8,1,0.0,8,1,20.9,8,1,0,1,8,1,24.5,8,1,0.0,8,1,,0,1,0.0,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,25.2,8,1,0.0,0,8,1
2020/7/3,ã‡,18.7,8,1,15.5,8,1,21.0,8,1,8.0,8,1,,0,1,11.5,8,1,21.3,8,1,17.0,8,1,21.7,8,1,26.0,8,1,19.5,8,1,14.0,8,1,18.0,8,1,25.5,8,1,18.5,8,1,20.5,0,8,1,21.5,8,1,20.0,8,1,,0,1,15.0,8,1,21.7,8,1,15.5,8,1,,0,1,,0,1,,0,1,15.0,8,1,22.5,8,1,10.0,0,8,1
2020/7/4,ìy,19.5,8,1,29.5,8,1,21.4,8,1,29.0,8,1,,0,1,42.0,8,1,22.0,8,1,47.5,8,1,23.0,8,1,154.5,8,1,21.0,8,1,40.0,8,1,19.6,8,1,84.0,8,1,20.9,8,1,38.5,0,8,1,21.9,8,1,38.5,8,1,,0,1,39.5,8,1,22.3,8,1,26.5,8,1,,0,1,,0,1,,0,1,31.5,8,1,23.2,8,1,28.0,0,8,1
2020/7/5,ì˙,21.3,8,1,0.0,8,1,23.0,8,1,0.0,8,1,,0,1,1.0,8,1,23.3,8,1,3.5,8,1,23.8,8,1,10.0,8,1,22.3,8,1,4.5,8,1,19.8,8,1,2.0,8,1,21.3,8,1,5.0,0,8,1,23.0,8,1,1.5,8,1,,0,1,0.5,8,1,23.8,8,1,0.5,8,1,,0,1,,0,1,,0,1,0.5,8,1,24.8,8,1,1.0,0,8,1
2020/7/6,åé,20.1,8,1,30.0,8,1,22.0,8,1,17.5,8,1,,0,1,32.0,8,1,22.8,8,1,46.5,8,1,23.8,8,1,151.5,8,1,21.4,8,1,51.5,8,1,20.1,8,1,68.5,8,1,21.1,8,1,44.0,0,8,1,22.6,8,1,35.5,8,1,,0,1,25.5,8,1,23.0,8,1,25.5,8,1,,0,1,,0,1,,0,1,28.5,8,1,23.7,8,1,19.5,0,8,1
2020/7/7,âŒ,22.0,8,1,2.5,8,1,23.8,8,1,2.5,8,1,,0,1,4.5,8,1,24.4,8,1,11.0,8,1,25.5,8,1,141.5,8,1,24.1,8,1,8.0,8,1,21.6,8,1,34.5,8,1,22.6,8,1,70.0,0,8,1,24.1,8,1,11.5,8,1,,0,1,8.0,8,1,25.0,8,1,4.5,8,1,,0,1,,0,1,,0,1,1.5,8,1,25.8,8,1,2.5,0,8,1
2020/7/8,êÖ,21.4,8,1,26.0,8,1,23.2,8,1,24.0,8,1,,0,1,43.5,8,1,23.6,8,1,38.0,8,1,24.6,8,1,98.5,8,1,23.1,8,1,35.0,8,1,20.2,8,1,53.0,8,1,21.9,8,1,45.5,0,8,1,22.9,8,1,20.5,8,1,,0,1,35.5,8,1,24.4,8,1,35.0,8,1,,0,1,,0,1,,0,1,35.0,8,1,25.2,8,1,35.0,0,8,1
2020/7/9,ñÿ,20.1,8,1,14.0,8,1,22.0,8,1,14.5,8,1,,0,1,28.5,8,1,22.1,8,1,32.0,8,1,23.2,8,1,67.0,8,1,20.9,8,1,32.5,8,1,18.9,8,1,35.0,8,1,20.3,8,1,30.0,0,8,1,22.3,8,1,20.5,8,1,,0,1,18.5,8,1,22.6,8,1,44.5,8,1,,0,1,,0,1,,0,1,24.0,8,1,23.4,8,1,27.0,0,8,1
2020/7/10,ã‡,20.6,8,1,1.5,8,1,22.6,8,1,4.5,8,1,,0,1,1.5,8,1,23.1,8,1,2.0,8,1,24.3,8,1,14.5,8,1,22.4,8,1,7.5,8,1,20.1,8,1,2.0,8,1,22.1,8,1,3.0,0,8,1,22.7,8,1,0.5,8,1,,0,1,1.0,8,1,23.7,8,1,1.0,8,1,,0,1,,0,1,,0,1,6.0,8,1,24.5,8,1,2.5,0,8,1
2020/7/11,ìy,21.9,8,1,5.0,8,1,23.2,8,1,25.5,8,1,,0,1,11.5,8,1,23.9,8,1,35.0,8,1,25.7,8,1,23.0,8,1,23.6,8,1,14.0,8,1,22.3,8,1,3.0,8,1,22.8,8,1,8.0,0,8,1,25.8,8,1,8.0,8,1,,0,1,5.5,8,1,24.1,8,1,14.0,8,1,,0,1,,0,1,,0,1,10.0,8,1,24.9,8,1,21.0,0,8,1
2020/7/12,ì˙,22.1,8,1,0.0,8,1,24.5,8,1,4.0,8,1,,0,1,0.0,8,1,24.9,8,1,1.0,8,1,25.8,8,1,14.5,8,1,23.4,8,1,0.0,8,1,21.7,8,1,20.5,8,1,22.9,8,1,2.0,0,8,1,24.2,8,1,3.5,8,1,,0,1,0.5,8,1,26.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,26.5,8,1,0.0,0,8,1
2020/7/13,åé,18.1,8,1,6.5,8,1,20.5,8,1,5.5,8,1,,0,1,2.5,8,1,20.8,8,1,4.5,8,1,21.3,8,1,4.0,8,1,19.6,8,1,1.0,8,1,16.8,8,1,7.5,8,1,17.4,8,1,5.0,0,8,1,19.3,8,1,3.5,8,1,,0,1,2.5,8,1,21.9,8,1,0.5,8,1,,0,1,,0,1,,0,1,6.0,8,1,22.1,8,1,1.0,0,8,1
2020/7/14,âŒ,19.6,8,1,4.0,8,1,20.6,8,1,2.5,8,1,,0,1,2.0,8,1,20.9,8,1,3.0,8,1,23.2,8,1,15.5,8,1,20.3,8,1,2.0,8,1,19.4,8,1,4.0,8,1,20.0,8,1,5.0,0,8,1,20.1,8,1,3.0,8,1,,0,1,2.5,8,1,21.2,8,1,5.0,8,1,,0,1,,0,1,,0,1,3.5,8,1,21.8,8,1,3.5,0,8,1
2020/7/15,êÖ,20.0,8,1,1.0,8,1,22.6,8,1,0.0,8,1,,0,1,0.0,8,1,23.2,8,1,0.0,8,1,23.5,8,1,0.0,8,1,22.0,8,1,0.0,8,1,18.6,8,1,0.5,8,1,19.3,8,1,0.0,0,8,1,20.2,8,1,2.0,8,1,,0,1,4.0,8,1,22.9,8,1,4.0,8,1,,0,1,,0,1,,0,1,16.0,8,1,24.2,8,1,0.0,0,8,1
2020/7/16,ñÿ,20.3,8,1,2.0,8,1,23.2,8,1,0.0,8,1,,0,1,0.0,8,1,23.4,8,1,0.0,8,1,23.1,8,1,0.0,8,1,22.1,8,1,0.0,8,1,18.6,8,1,0.0,8,1,19.0,8,1,0.0,0,8,1,20.1,8,1,1.0,8,1,,0,1,0.0,8,1,23.5,8,1,0.5,8,1,,0,1,,0,1,,0,1,23.5,8,1,24.6,8,1,0.5,0,8,1
2020/7/17,ã‡,18.5,8,1,8.5,8,1,20.7,8,1,31.0,8,1,,0,1,35.5,8,1,20.9,8,1,50.5,8,1,21.5,8,1,43.0,8,1,19.8,8,1,31.5,8,1,17.3,8,1,42.0,8,1,17.3,8,1,26.5,0,8,1,19.0,8,1,24.0,8,1,,0,1,21.5,8,1,21.1,8,1,28.0,8,1,,0,1,,0,1,,0,1,33.5,8,1,21.9,8,1,35.0,0,8,1
2020/7/18,ìy,20.2,8,1,5.5,8,1,21.8,8,1,10.5,8,1,,0,1,7.5,8,1,22.5,8,1,14.0,8,1,23.2,8,1,28.0,8,1,21.3,8,1,6.0,8,1,18.9,8,1,11.5,8,1,19.2,8,1,6.5,0,8,1,20.0,8,1,8.5,8,1,,0,1,6.0,8,1,22.9,8,1,2.5,8,1,,0,1,,0,1,,0,1,5.0,8,1,23.7,8,1,5.0,0,8,1
2020/7/19,ì˙,23.3,8,1,0.0,8,1,25.0,8,1,0.0,8,1,,0,1,0.0,8,1,24.8,8,1,0.0,8,1,25.0,8,1,0.0,8,1,23.7,8,1,0.0,8,1,21.0,8,1,0.0,8,1,22.4,8,1,0.0,0,8,1,24.4,8,1,0.0,8,1,,0,1,0.0,8,1,26.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,26.5,8,1,0.0,0,8,1
2020/7/20,åé,22.9,8,1,1.0,8,1,24.7,8,1,0.5,8,1,,0,1,0.0,8,1,25.2,8,1,0.0,8,1,26.3,8,1,0.0,8,1,23.8,8,1,0.5,8,1,21.0,8,1,18.0,8,1,22.4,8,1,1.5,0,8,1,24.3,8,1,4.0,8,1,,0,1,5.5,8,1,25.9,8,1,2.0,8,1,,0,1,,0,1,,0,1,2.5,8,1,26.8,8,1,1.5,0,8,1
2020/7/21,âŒ,23.5,8,1,10.0,8,1,25.5,8,1,1.0,8,1,,0,1,0.5,8,1,25.8,8,1,0.0,8,1,26.0,8,1,0.0,8,1,24.4,8,1,0.0,8,1,22.1,8,1,0.5,8,1,23.0,8,1,0.5,0,8,1,24.5,8,1,2.5,8,1,,0,1,4.0,8,1,26.4,8,1,2.5,8,1,,0,1,,0,1,,0,1,6.0,5,1,26.9,8,1,1.5,0,8,1
2020/7/22,êÖ,24.4,8,1,5.5,8,1,26.2,8,1,15.5,8,1,,0,1,3.5,8,1,26.3,8,1,5.0,8,1,26.7,8,1,4.0,8,1,25.1,8,1,2.5,8,1,22.7,8,1,1.5,8,1,23.7,8,1,1.0,0,8,1,25.4,8,1,2.5,8,1,,0,1,5.0,8,1,26.3,8,1,11.0,8,1,,0,1,,0,1,,0,1,24.0,8,1,27.3,8,1,52.0,0,8,1
2020/7/23,ñÿ,20.5,8,1,14.5,8,1,22.0,8,1,3.5,8,1,,0,1,5.5,8,1,22.6,8,1,1.5,8,1,24.7,8,1,0.0,8,1,21.6,8,1,1.0,8,1,20.2,8,1,3.0,8,1,20.4,8,1,1.0,0,8,1,21.6,8,1,4.5,8,1,,0,1,5.0,8,1,23.0,8,1,1.0,8,1,,0,1,,0,1,,0,1,10.0,8,1,23.7,8,1,1.5,0,8,1
2020/7/24,ã‡,21.2,8,1,2.5,8,1,22.4,8,1,8.0,8,1,,0,1,13.0,8,1,23.4,8,1,13.0,8,1,24.7,8,1,27.0,8,1,22.5,8,1,2.0,8,1,20.1,8,1,3.5,8,1,21.2,8,1,7.0,0,8,1,22.7,8,1,0.5,8,1,,0,1,1.5,8,1,23.9,8,1,3.5,8,1,,0,1,,0,1,,0,1,6.5,8,1,24.3,8,1,9.5,0,8,1
2020/7/25,ìy,20.6,8,1,54.0,8,1,22.2,8,1,63.5,8,1,,0,1,132.0,8,1,22.1,8,1,93.5,8,1,23.7,8,1,110.5,8,1,21.4,8,1,94.5,8,1,19.9,8,1,115.5,8,1,20.6,8,1,110.5,0,8,1,22.1,8,1,76.0,8,1,,0,1,103.0,8,1,22.5,8,1,109.0,8,1,,0,1,,0,1,,0,1,66.5,8,1,23.3,8,1,128.0,0,8,1
2020/7/26,ì˙,20.9,8,1,28.0,8,1,22.7,8,1,42.0,8,1,,0,1,50.0,8,1,23.0,8,1,61.5,8,1,24.0,8,1,75.0,8,1,22.0,8,1,54.5,8,1,19.9,8,1,75.0,8,1,20.9,8,1,43.0,0,8,1,22.4,8,1,27.5,8,1,,0,1,47.5,8,1,23.3,8,1,53.0,8,1,,0,1,,0,1,,0,1,46.0,8,1,24.0,8,1,41.5,0,8,1
2020/7/27,åé,21.3,8,1,10.0,8,1,22.6,8,1,4.0,8,1,,0,1,0.0,8,1,23.5,8,1,1.0,8,1,24.9,8,1,3.5,8,1,22.4,8,1,1.5,8,1,21.1,8,1,0.0,8,1,22.0,8,1,1.5,0,8,1,23.9,8,1,0.5,8,1,,0,1,0.5,8,1,24.2,8,1,0.5,8,1,,0,1,,0,1,,0,1,6.5,8,1,25.0,8,1,1.0,0,8,1
2020/7/28,âŒ,22.2,8,1,2.0,8,1,23.1,5,1,1.5,5,1,,0,1,2.5,8,1,23.9,8,1,3.5,8,1,26.0,8,1,3.5,8,1,22.8,8,1,1.5,8,1,22.0,8,1,5.0,8,1,22.6,8,1,2.0,0,8,1,23.9,8,1,1.5,8,1,,0,1,3.0,8,1,24.5,8,1,1.0,8,1,,0,1,,0,1,,0,1,1.0,8,1,25.5,8,1,0.5,0,8,1
2020/7/29,êÖ,22.5,8,1,6.0,8,1,23.7,8,1,0.0,8,1,,0,1,3.5,8,1,23.4,8,1,8.0,8,1,23.8,8,1,2.0,8,1,22.8,8,1,0.5,8,1,20.2,8,1,3.0,8,1,20.6,8,1,2.5,0,8,1,21.7,8,1,0.0,8,1,,0,1,3.0,8,1,24.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,4.0,8,1,25.2,8,1,0.0,0,8,1
2020/7/30,ñÿ,21.1,8,1,11.0,5,1,23.2,8,1,1.5,8,1,,0,1,1.5,8,1,23.3,8,1,2.0,8,1,23.6,8,1,8.0,8,1,22.4,8,1,4.0,8,1,19.4,8,1,6.0,8,1,19.6,8,1,5.5,0,8,1,21.3,8,1,2.0,8,1,,0,1,0.5,8,1,24.1,8,1,1.0,8,1,,0,1,,0,1,,0,1,8.5,8,1,24.6,8,1,3.0,0,8,1
2020/7/31,ã‡,23.4,8,1,13.5,8,1,24.6,8,1,10.5,8,1,,0,1,9.0,8,1,24.5,8,1,20.0,8,1,25.2,8,1,0.5,8,1,23.9,8,1,23.0,8,1,21.7,8,1,1.5,8,1,22.4,8,1,6.5,0,8,1,23.7,8,1,5.0,8,1,,0,1,2.5,8,1,25.4,8,1,11.0,8,1,,0,1,,0,1,,0,1,31.0,8,1,26.1,8,1,21.0,0,8,1
2020/8/1,ìy,23.1,8,1,0.0,8,1,25.0,8,1,0.0,8,1,,0,1,0.5,8,1,24.9,8,1,0.5,8,1,26.3,8,1,0.5,8,1,23.8,8,1,2.0,8,1,21.2,8,1,0.5,8,1,21.8,8,1,1.5,0,8,1,23.3,8,1,2.0,8,1,,0,1,0.0,8,1,25.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,25.9,8,1,19.0,0,8,1
2020/8/2,ì˙,23.1,8,1,0.5,8,1,25.1,8,1,0.5,8,1,,0,1,0.0,8,1,25.6,8,1,0.0,8,1,25.7,8,1,16.5,8,1,24.2,8,1,1.0,8,1,21.2,8,1,4.0,8,1,21.8,8,1,2.0,0,8,1,24.0,8,1,0.0,8,1,,0,1,0.0,8,1,25.5,8,1,1.0,8,1,,0,1,,0,1,,0,1,5.0,8,1,26.6,8,1,2.0,0,8,1
2020/8/3,åé,22.8,8,1,12.5,8,1,24.5,8,1,2.5,8,1,,0,1,1.0,8,1,25.3,8,1,0.0,8,1,25.8,8,1,4.0,8,1,23.8,8,1,8.5,8,1,21.4,8,1,24.5,8,1,22.2,8,1,1.5,0,8,1,24.7,8,1,0.5,8,1,,0,1,1.0,8,1,25.6,8,1,0.5,8,1,,0,1,,0,1,,0,1,21.0,8,1,26.7,8,1,1.5,0,8,1
2020/8/4,âŒ,25.1,8,1,0.0,8,1,26.3,8,1,0.0,8,1,,0,1,0.0,8,1,26.7,8,1,0.0,8,1,27.3,8,1,0.0,8,1,25.1,8,1,0.0,8,1,22.4,8,1,0.0,8,1,23.6,8,1,0.0,0,8,1,25.7,8,1,0.5,8,1,,0,1,0.0,8,1,27.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,28.2,8,1,0.0,0,8,1
2020/8/5,êÖ,26.0,8,1,0.0,8,1,27.0,8,1,0.0,8,1,,0,1,0.0,8,1,27.5,8,1,0.0,8,1,28.3,8,1,0.0,8,1,25.8,8,1,0.0,8,1,23.0,8,1,0.0,8,1,24.2,8,1,0,1,8,1,26.9,8,1,0.0,8,1,,0,1,0.0,8,1,28.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,28.6,8,1,0.5,0,8,1
2020/8/6,ñÿ,25.1,8,1,0.0,8,1,26.9,8,1,0.0,8,1,,0,1,0.0,8,1,27.0,8,1,0.0,8,1,27.4,8,1,0.0,8,1,25.5,8,1,0.0,8,1,22.8,8,1,0.0,8,1,24.3,8,1,0,1,8,1,26.6,8,1,0.0,8,1,,0,1,0.0,8,1,27.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,28.7,8,1,0,1,8,1
2020/8/7,ã‡,24.5,8,1,0.0,8,1,26.2,8,1,0.0,8,1,,0,1,0.0,8,1,27.0,8,1,0.0,8,1,28.1,8,1,0.0,8,1,25.0,8,1,0.0,8,1,23.1,8,1,0.0,8,1,24.9,8,1,0,1,8,1,27.0,8,1,0.0,8,1,,0,1,0.0,8,1,27.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,28.5,8,1,0,1,8,1
2020/8/8,ìy,24.8,8,1,0.0,8,1,26.7,8,1,0.0,8,1,,0,1,0.0,8,1,27.4,8,1,0.0,8,1,27.9,8,1,0.0,8,1,25.6,8,1,0.0,8,1,23.1,8,1,0.0,8,1,24.6,8,1,0,1,8,1,26.3,8,1,0.0,8,1,,0,1,0.0,8,1,28.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,28.8,8,1,0.0,0,8,1
2020/8/9,ì˙,25.8,8,1,0.0,8,1,27.1,8,1,0.0,8,1,,0,1,0.0,8,1,27.2,8,1,0.0,8,1,28.5,8,1,0.0,8,1,25.8,8,1,0.0,8,1,23.4,8,1,0.0,8,1,25.3,8,1,0,1,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,28.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,29.2,8,1,0,1,8,1
2020/8/10,åé,26.0,8,1,0.0,8,1,27.0,8,1,0.0,8,1,,0,1,0.0,8,1,27.6,8,1,0.0,8,1,28.3,8,1,0.0,8,1,26.5,8,1,0.0,8,1,24.3,8,1,0.0,8,1,25.5,8,1,0,1,8,1,27.7,8,1,0.0,8,1,,0,1,0.0,8,1,29.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,29.5,8,1,0,1,8,1
2020/8/11,âŒ,27.1,8,1,0.0,8,1,28.6,8,1,0.0,8,1,,0,1,0.0,8,1,29.0,8,1,0.0,8,1,29.8,8,1,0.0,8,1,26.9,8,1,0.0,8,1,25.0,8,1,0.0,8,1,26.5,8,1,0,1,8,1,29.7,8,1,0.0,8,1,,0,1,0.0,8,1,30.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.4,8,1,0,1,8,1
2020/8/12,êÖ,27.1,8,1,0.0,8,1,28.2,8,1,0.5,8,1,,0,1,15.0,8,1,28.3,8,1,1.0,8,1,29.3,8,1,0.0,8,1,27.2,8,1,1.5,8,1,24.0,8,1,3.0,8,1,25.3,8,1,0.0,0,8,1,27.5,8,1,24.0,8,1,,0,1,31.5,8,1,29.3,8,1,0.5,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.4,8,1,0.0,0,8,1
2020/8/13,ñÿ,25.1,8,1,0.0,8,1,27.7,8,1,0.0,8,1,,0,1,0.0,8,1,27.6,8,1,0.5,8,1,29.6,8,1,0.0,8,1,26.4,8,1,0.0,8,1,23.7,8,1,3.0,8,1,25.4,8,1,0.0,0,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,29.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.4,8,1,0.0,0,8,1
2020/8/14,ã‡,26.0,8,1,0.0,8,1,27.6,8,1,0.0,8,1,,0,1,0.0,8,1,28.2,8,1,0.0,8,1,29.3,8,1,0.0,8,1,26.7,8,1,0.0,8,1,24.1,8,1,0.0,8,1,25.2,8,1,0,1,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,29.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.0,8,1,0,1,8,1
2020/8/15,ìy,27.8,8,1,0.0,8,1,28.6,8,1,0.0,8,1,,0,1,0.0,8,1,29.1,8,1,0.0,8,1,30.2,8,1,0.0,8,1,28.1,8,1,0.0,8,1,25.1,8,1,0.0,8,1,26.7,8,1,0,1,8,1,28.7,8,1,0.0,8,1,,0,1,0.0,8,1,30.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,31.4,8,1,0,1,8,1
2020/8/16,ì˙,28.1,8,1,0.0,8,1,29.2,8,1,0.0,8,1,,0,1,0.0,8,1,29.6,8,1,0.0,8,1,30.9,8,1,0.0,8,1,28.7,8,1,0.0,8,1,25.4,8,1,0.0,8,1,26.5,8,1,0.5,0,8,1,28.9,8,1,2.0,8,1,,0,1,0.0,8,1,30.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,31.8,8,1,0,1,8,1
2020/8/17,åé,27.4,8,1,0.0,8,1,28.6,8,1,0.0,8,1,,0,1,0.0,8,1,29.3,8,1,0.0,8,1,30.2,8,1,0.0,8,1,28.1,8,1,0.0,8,1,25.7,8,1,0.0,8,1,26.9,8,1,0,1,8,1,28.2,8,1,0.0,8,1,,0,1,8.5,8,1,30.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,31.4,8,1,0,1,8,1
2020/8/18,âŒ,26.0,8,1,0.0,8,1,28.0,8,1,0.0,8,1,,0,1,0.0,8,1,29.1,8,1,0.0,8,1,30.1,8,1,0.0,8,1,27.0,8,1,0.0,8,1,24.0,8,1,0.0,8,1,25.2,8,1,0,1,8,1,27.2,5,1,0.0,8,1,,0,1,0.0,8,1,29.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.4,8,1,0,1,8,1
2020/8/19,êÖ,25.4,8,1,0.0,8,1,27.4,8,1,0.0,8,1,,0,1,0.0,8,1,28.8,8,1,0.0,8,1,29.2,8,1,0.0,8,1,26.8,8,1,0.0,8,1,23.1,8,1,0.0,8,1,24.9,8,1,0,1,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,29.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.0,8,1,0,1,8,1
2020/8/20,ñÿ,26.4,8,1,0.0,8,1,27.9,8,1,0.0,8,1,,0,1,0.0,8,1,28.6,8,1,0.0,8,1,29.3,8,1,0.0,8,1,27.2,8,1,0.0,8,1,23.9,8,1,0.0,8,1,25.3,8,1,0,1,8,1,27.8,8,1,0.0,8,1,,0,1,0.0,8,1,29.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.0,8,1,30.1,8,1,0,1,8,1
2020/8/21,ã‡,26.1,8,1,0.0,8,1,28.0,8,1,0.0,8,1,,0,1,0.0,8,1,29.0,8,1,0.0,8,1,30.0,8,1,0.0,8,1,27.2,8,1,0.0,8,1,23.9,8,1,0.0,8,1,25.1,8,1,0,1,8,1,28.0,8,1,0.0,8,1,,0,1,0.0,8,1,27.9,8,1,18.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,30.2,8,1,0,1,8,1
2020/8/22,ìy,23.5,8,1,0.0,8,1,24.6,8,1,9.0,8,1,,0,1,42.5,8,1,26.7,8,1,4.5,8,1,28.2,8,1,1.0,8,1,24.6,8,1,6.5,8,1,22.1,8,1,0.0,8,1,23.0,8,1,14.5,0,8,1,26.5,8,1,0.0,8,1,,0,1,0.0,8,1,25.5,8,1,11.5,8,1,,0,1,,0,1,,0,1,21.5,8,1,26.8,8,1,33.5,0,8,1
2020/8/23,ì˙,21.9,8,1,0.0,8,1,23.4,8,1,4.0,8,1,,0,1,0.0,8,1,24.8,8,1,0.0,8,1,26.1,8,1,0.0,8,1,22.2,8,1,5.5,8,1,20.4,8,1,0.0,8,1,21.8,8,1,0,1,8,1,24.7,8,1,0.0,8,1,,0,1,0.0,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,28.0,8,1,25.5,8,1,1.0,0,8,1
2020/8/24,åé,23.6,8,1,0.0,8,1,24.9,8,1,0.0,8,1,,0,1,0.0,8,1,26.6,8,1,0.0,8,1,27.7,8,1,0.0,8,1,23.5,8,1,1.0,8,1,21.2,8,1,3.0,8,1,22.3,8,1,0.0,0,8,1,25.5,8,1,0.0,8,1,,0,1,0.0,8,1,25.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.5,8,1,27.3,8,1,0.0,0,8,1
2020/8/25,âŒ,24.2,8,1,7.5,8,1,26.3,8,1,0.0,8,1,,0,1,0.0,8,1,27.4,8,1,0.0,8,1,27.8,8,1,0.0,8,1,25.0,8,1,0.0,8,1,22.5,8,1,0.0,8,1,23.1,8,1,1.0,0,8,1,26.3,8,1,0.0,8,1,,0,1,0.0,8,1,27.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,27.9,8,1,2.5,0,8,1
2020/8/26,êÖ,25.1,8,1,0.0,8,1,26.7,8,1,0.0,8,1,,0,1,0.0,8,1,27.9,8,1,0.0,8,1,28.6,8,1,0.0,8,1,25.5,8,1,0.0,8,1,22.7,8,1,0.5,8,1,23.7,8,1,0.0,0,8,1,26.7,8,1,0.0,8,1,,0,1,0.0,8,1,27.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,29.0,8,1,0.0,0,8,1
2020/8/27,ñÿ,24.8,8,1,0.0,8,1,26.3,8,1,0.0,8,1,,0,1,0.0,8,1,27.3,8,1,0.0,8,1,27.6,8,1,3.0,8,1,25.2,8,1,0.0,8,1,22.8,8,1,8.5,8,1,23.7,8,1,8.5,0,8,1,26.1,8,1,6.0,8,1,,0,1,0.0,8,1,28.1,8,1,0.5,8,1,,0,1,,0,1,,0,1,0.5,8,1,29.0,8,1,0.0,0,8,1
2020/8/28,ã‡,23.4,8,1,0.0,8,1,24.9,8,1,0.0,8,1,,0,1,1.5,8,1,25.1,8,1,8.5,8,1,26.2,8,1,17.0,8,1,23.5,8,1,1.0,8,1,22.0,8,1,9.5,8,1,22.1,8,1,3.0,0,8,1,25.2,8,1,0.0,8,1,,0,1,0.0,8,1,26.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,26.9,8,1,0.0,0,8,1
2020/8/29,ìy,25.8,8,1,0.0,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,28.0,8,1,0.0,8,1,28.7,8,1,0.0,8,1,26.4,8,1,0.0,8,1,23.3,8,1,0.0,8,1,24.4,8,1,0,1,8,1,27.3,8,1,0.0,8,1,,0,1,0.0,8,1,29.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.0,8,1,29.4,8,1,0,1,8,1
